#,Country,First Name,Last Name ,Last,UID,Matches,Minutes,km,m/min,poss,no poss,speed,low,med,high
210,GER ,Arne,FRIEDRICH,FRIE,FRIEGER ,4,360,36.68,101.9,14.82,15.01,28.11,221,19,16
5,GER ,Sami,KHEDIRA,KHED,KHEDGER ,4,360,47.47,131.9,21.1,18.33,24.07,188,31,33
97,GER ,Philipp,LAHM,LAHM,LAHMGER ,4,360,41.3,114.7,17.47,16.44,24.48,208,25,23
215,GER ,Per,MERTESACKER,MERT,MERTGER ,4,360,36.45,101.3,14.32,14.93,20.75,224,18,15
50,GER ,Thomas,MUELLER,MUEL,MUELGER ,4,299,36.02,120.5,15.65,13.3,26.03,185,20,26
60,GER ,Mesut,OEZIL,OEZI,OEZIGER ,4,317,37.81,119.3,17.25,13.56,28.38,193,21,26
152,GER ,Lukas,PODOLSKI,PODO,PODOGER ,4,351,38.02,108.3,16.88,13.75,31.5,214,21,22
12,GER ,Bastian,SCHWEINSTEIGER,SCHW,SCHWGER ,4,351,45.16,128.7,19.49,17.66,26.98,195,31,32
78,GHA ,Anthony,ANNAN,ANNA,ANNAGHA ,4,390,45.81,117.5,16.96,20.95,24.4,209,24,22
116,GHA ,Kwadwo,ASAMOAH,ASAM,ASAMGHA ,4,360,40.44,112.3,16.5,16.87,29.03,203,21,24
70,GHA ,Andre,AYEW,AYEW,AYEWGHA ,4,389,45.88,117.9,18.52,19.32,25.99,205,23,27
196,GHA ,Asamoah,GYAN,GYAN,GYANGHA ,4,381,39.52,103.7,16.57,15.28,30.13,221,16,18
181,GHA ,Jonathan,MENSAH,MENS,MENSGHA ,3,300,31.54,105.1,11.48,14.06,29.29,165,14,14
230,GHA ,John,MENSAH,MENS,MENSGHA ,3,300,29.71,99,10.51,14.56, ,167,12,14
123,GHA ,John,PANTSIL,PANT,PANTGHA ,4,390,43.49,111.5,16.82,18.78,26.03,208,22,27
124,GHA ,Kevin,Prince BOATENG,Prin,PrinGHA ,4,344,38.34,111.5,14.57,17.27,28.73,208,23,24
227,GHA ,Hans,SARPEI,SARP,SARPGHA ,4,343,34.1,99.4,11.84,16.07,22.81,214,17,19
92,GHA ,Prince,TAGOE,TAGO,TAGOGHA ,3,210,24.33,115.9,9.37,10.79,26.06,122,14,17
127,GRE ,Konstantinos,KATSOURANIS,KATS,KATSGRE ,3,234,25.92,110.8,9.76,10.69,31.5,129,14,14
239,GRE ,Avraam,PAPADOPOULOS,PAPA,PAPAGRE ,3,270,26.08,96.6,8.23,12.68,31.57,159,12,11
220,GRE ,Vasileios,TOROSIDIS,TORO,TOROGRE ,3,235,23.66,100.7,8.18,9.95,22.81,137,12,12
93,GRE ,Alexandros,TZIOLIS,TZIO,TZIOGRE ,3,270,31.25,115.7,11.07,14.65,25.94,143,19,21
171,GRE ,Loukas,VYNTRA,VYNT,VYNTGRE ,3,270,28.68,106.2,9.7,12.8,23.49,151,15,16
247,HON,Osman,CHAVEZ,CHAV,CHAVHON,3,270,25.69,95.1,7.67,12.76,24.77,162,12,11
228,HON,Maynor,FIGUEROA,FIGU,FIGUHON,3,270,26.81,99.3,8.12,12.86,23.01,164,13,12
165,HON,Wilson,PALACIOS,PALA,PALAHON,3,270,28.89,107,8.75,14.02,28.35,147,14,16
